z,mass_track_M0_1e+03_msun,mass_track_M0_1e+06_msun,mass_track_M0_1e+09_msun,mass_track_M0_1e+12_msun,concentration_M0_1e+03,concentration_M0_1e+06,concentration_M0_1e+09,concentration_M0_1e+12
3.089999999999999858e+00,4.642194606467277254e+02,3.922698596358380746e+05,2.921301520531696081e+08,1.493443510649097595e+11,8.877285850720976867e+00,7.279905558056415593e+00,5.670473675271091807e+00,4.124539494854182031e+00
3.120000000000000107e+00,4.604825175652115945e+02,3.884154463547991472e+05,2.883654075110965371e+08,1.464044490446607056e+11,8.806132377630552455e+00,7.224665290140018570e+00,5.632146556518410563e+00,4.104329189110065279e+00
3.149999999999999911e+00,4.567732524058151853e+02,3.845963791339883464e+05,2.846467530913020968e+08,1.435207222891375122e+11,8.736138067848264299e+00,7.170343379397670525e+00,5.594477915695864390e+00,4.084478014446729865e+00
3.179999999999999716e+00,4.530915154656616437e+02,3.808123964244441013e+05,2.809736919463959336e+08,1.406921558483665161e+11,8.667299107874471886e+00,7.116936867196724137e+00,5.557465627923665608e+00,4.064985278029250360e+00
3.209999999999999964e+00,4.494371562530120059e+02,3.770632367314450094e+05,2.773457304122886062e+08,1.379177509090659485e+11,8.599611592736575716e+00,7.064442706766529412e+00,5.521107494726005704e+00,4.045850250072349219e+00
3.239999999999999769e+00,4.458100235533454452e+02,3.733486386921220692e+05,2.737623780749328732e+08,1.351965246315727997e+11,8.533071513126824215e+00,7.012857753632241398e+00,5.485401237992213908e+00,4.027072160625397856e+00
3.270000000000000018e+00,4.422099654928196060e+02,3.696683411495478940e+05,2.702231478322703242e+08,1.325275099836252289e+11,8.467674742701460033e+00,6.962178756199057794e+00,5.450344494055600286e+00,4.008650196387165465e+00
3.299999999999999822e+00,4.386368295992185722e+02,3.660220832234523259e+05,2.667275559516091943e+08,1.299097555713417511e+11,8.403417025548421293e+00,6.912402346491753669e+00,5.415934807890738334e+00,3.990583497548138237e+00
3.330000000000000071e+00,4.350904628604884010e+02,3.624096043777012965e+05,2.632751221226435006e+08,1.273423254677169952e+11,8.340293963831872048e+00,6.863525031054861891e+00,5.382169627430269720e+00,3.972871154658385695e+00
3.359999999999999876e+00,4.315707117809601527e+02,3.588306444846789236e+05,2.598653695063217282e+08,1.248242990389352264e+11,8.278301005622825670e+00,6.815543182019458968e+00,5.349046298002460453e+00,3.955512205519176483e+00
3.389999999999999680e+00,4.280774224353505701e+02,3.552849438866968267e+05,2.564978247797549367e+08,1.223547707687843170e+11,8.217433432925961512e+00,6.768453028342974243e+00,5.316562056890978383e+00,3.938505632096740872e+00
3.419999999999999929e+00,4.246104405206317551e+02,3.517722434545563883e+05,2.531720181773513258e+08,1.199328500814379578e+11,8.157686349913641166e+00,6.722250647228940501e+00,5.284714028018552945e+00,3.921850357456803771e+00
3.449999999999999734e+00,4.211696114058515832e+02,3.482922846433780505e+05,2.498874835283548534e+08,1.175576611628555603e+11,8.099054671378786097e+00,6.676931955733851787e+00,5.253499216756196688e+00,3.905545242718642562e+00
3.479999999999999982e+00,4.177547801799882450e+02,3.448448095458119642e+05,2.466437582909537256e+08,1.152283427810349731e+11,8.041533111418949886e+00,6.632492702568757892e+00,5.222914504859998530e+00,3.889589084027752275e+00
3.509999999999999787e+00,4.143657916979153129e+02,3.414295609427370364e+05,2.434403835831223726e+08,1.129440481053397827e+11,7.985116172364558729e+00,6.588928460103375073e+00,5.192956645537416094e+00,3.873980609546323173e+00
3.540000000000000036e+00,4.110024906245491252e+02,3.380462823515473865e+05,2.402769042103477120e+08,1.107039445251082611e+11,7.929798133964722773e+00,6.546234616580831833e+00,5.163622258645248486e+00,3.858718476461014735e+00
3.569999999999999840e+00,4.076647214772534653e+02,3.346947180721281911e+05,2.371528686903892159e+08,1.085072134677388763e+11,7.875573042844508542e+00,6.504406368551200579e+00,5.134907826021437138e+00,3.843801268007765337e+00
3.599999999999999645e+00,4.043523286665646310e+02,3.313746132306109648e+05,2.340678292752088606e+08,1.063530502164345245e+11,7.822434702247739402e+00,6.463438713532146274e+00,5.106809686952988869e+00,3.829227490513524845e+00
3.629999999999999893e+00,4.010651565353035153e+02,3.280857138209994300e+05,2.310213419702085853e+08,1.042406637277771606e+11,7.770376662079709895e+00,6.423326442905011646e+00,5.079324033782287806e+00,3.814995570455133045e+00
3.659999999999999698e+00,3.978030493961380216e+02,3.248277667447517742e+05,2.280129665509001613e+08,1.021692764492937927e+11,7.719392209264346327e+00,6.384064135054726030e+00,5.052446907654167596e+00,3.801103851535777345e+00
3.689999999999999947e+00,3.945658515676507818e+02,3.216005198483982822e+05,2.250422665771297812e+08,1.001381241371618805e+11,7.669474358430147909e+00,6.345646148761640681e+00,5.026174194406059392e+00,3.787550591779652365e+00
