z,mass_msun,concentration_ludlow16
6.909969651890204290e+00,1.118089500423398209e+10,3.208588509376986142e+00
6.993379893217557708e+00,1.055643290776878166e+10,3.191939447352290848e+00
7.077796979539717093e+00,9.959689232713798523e+09,3.175566613061461041e+00
7.163233064482279921e+00,9.389847904754882812e+09,3.159465288975981334e+00
7.249700448377245365e+00,8.846096201775671005e+09,3.143630827665121252e+00
7.337211580033916825e+00,8.327625727019969940e+09,3.128058652204819268e+00
7.425779058531170485e+00,7.833633357224440575e+09,3.112744256502367080e+00
7.515415635031367003e+00,7.363322163702044487e+09,3.097683205540461948e+00
7.606134214616135480e+00,6.915902304448434830e+09,3.082871135544178465e+00
7.697947858144337907e+00,6.490591885442163467e+09,3.068303754074424905e+00
7.790869784132473441e+00,6.086617789416087151e+09,3.053976840051401354e+00
7.884913370657736564e+00,5.703216470490193367e+09,3.039886243711545699e+00
7.980092157284090604e+00,5.339634713174078941e+09,3.026027886501400310e+00
8.076419847011568010e+00,4.995130354372667313e+09,3.012397760911817102e+00
8.173910308249119794e+00,4.668972967157485962e+09,2.998991930255769045e+00
8.272577576811247724e+00,4.360444505200490952e+09,2.985806528393097459e+00
8.372435857938768322e+00,4.068839906904614449e+09,2.972837759405328573e+00
8.473499528343948484e+00,3.793467658407073021e+09,2.960081897223668879e+00
8.575783138280360873e+00,3.533650314774763107e+09,2.947535285213231493e+00
8.679301413637670493e+00,3.288724978857292652e+09,2.935194335716398761e+00
8.784069258061746766e+00,3.058043737409732342e+09,2.923055529558181043e+00
8.890101755100383585e+00,2.840974054245075226e+09,2.911115415516304150e+00
8.997414170374858244e+00,2.636899120323832989e+09,2.899370609758702866e+00
9.106021953777760913e+00,2.445218160834415436e+09,2.887817795250960717e+00
9.215940741697325578e+00,2.265346699463284016e+09,2.876453721136154495e+00
9.327186359268640814e+00,2.096716780196260452e+09,2.865275202089472728e+00
9.439774822651976649e+00,1.938777147132320881e+09,2.854279117649852981e+00
9.553722341338675150e+00,1.790993382926867962e+09,2.843462411530809586e+00
9.669045320484837447e+00,1.652848006613557816e+09,2.832822090912495039e+00
9.785760363273215745e+00,1.523840531680124998e+09,2.822355225716965510e+00
9.903884273303559027e+00,1.403487485395114899e+09,2.812058947868510295e+00
1.002343405701186008e+01,1.291322390497112751e+09,2.801930450540805140e+00
1.014442692611881291e+01,1.186895710466584444e+09,2.791966987392557886e+00
